Date	HomeTeam	AwayTeam	FTHG	FTAG
8/16/2019	Denizlispor	Galatasaray	2	0
8/17/2019	Genclerbirligi	Rizespor	0	1
8/17/2019	Kayserispor	Alanyaspor	0	1
8/17/2019	Sivasspor	Besiktas	3	0
8/18/2019	Konyaspor	Ankaragucu	0	0
8/18/2019	Goztepe	Antalyaspor	0	1
8/18/2019	Kasimpasa	Trabzonspor	1	1
8/18/2019	Malatyaspor	Basaksehir	3	0
8/19/2019	Fenerbahce	Gaziantep	5	0
8/23/2019	Besiktas	Goztepe	3	0
8/24/2019	Ankaragucu	Kayserispor	1	1
8/24/2019	Alanyaspor	Kasimpasa	4	1
8/24/2019	Basaksehir	Fenerbahce	1	2
8/25/2019	Rizespor	Sivasspor	2	1
8/25/2019	Trabzonspor	Malatyaspor	2	1
8/25/2019	Antalyaspor	Denizlispor	0	2
8/25/2019	Galatasaray	Konyaspor	1	1
8/26/2019	Gaziantep	Genclerbirligi	4	1
8/30/2019	Kasimpasa	Ankaragucu	0	1
8/30/2019	Kayserispor	Galatasaray	2	3
8/31/2019	Konyaspor	Antalyaspor	2	2
8/31/2019	Besiktas	Rizespor	1	1
8/31/2019	Goztepe	Denizlispor	0	0
9/1/2019	Genclerbirligi	Basaksehir	1	2
9/1/2019	Sivasspor	Gaziantep	1	1
9/1/2019	Fenerbahce	Trabzonspor	1	1
9/1/2019	Malatyaspor	Alanyaspor	2	3
9/13/2019	Galatasaray	Kasimpasa	1	0
9/14/2019	Basaksehir	Sivasspor	1	1
9/14/2019	Antalyaspor	Kayserispor	2	2
9/14/2019	Gaziantep	Besiktas	3	2
9/15/2019	Ankaragucu	Malatyaspor	0	4
9/15/2019	Rizespor	Goztepe	0	0
9/15/2019	Denizlispor	Konyaspor	0	1
9/15/2019	Trabzonspor	Genclerbirligi	2	2
9/16/2019	Alanyaspor	Fenerbahce	3	1
9/20/2019	Goztepe	Konyaspor	1	0
9/21/2019	Kasimpasa	Antalyaspor	3	0
9/21/2019	Kayserispor	Denizlispor	1	1
9/21/2019	Fenerbahce	Ankaragucu	2	1
9/22/2019	Rizespor	Gaziantep	1	2
9/22/2019	Genclerbirligi	Alanyaspor	1	1
9/22/2019	Malatyaspor	Galatasaray	1	1
9/23/2019	Besiktas	Basaksehir	1	1
9/23/2019	Sivasspor	Trabzonspor	2	1
9/27/2019	Basaksehir	Rizespor	5	0
9/28/2019	Denizlispor	Kasimpasa	0	1
9/28/2019	Alanyaspor	Sivasspor	1	1
9/28/2019	Galatasaray	Fenerbahce	0	0
9/29/2019	Konyaspor	Kayserispor	2	1
9/29/2019	Ankaragucu	Genclerbirligi	2	1
9/29/2019	Antalyaspor	Malatyaspor	3	0
9/29/2019	Trabzonspor	Besiktas	4	1
9/30/2019	Gaziantep	Goztepe	1	1
10/4/2019	Fenerbahce	Antalyaspor	0	1
